k,original,galerkin,wavelet_db32,standard_p4,hybrid_N12_p4_int64
0.0,1.0489088737381692e-30,2.940132356821332e-30,0.000736087421649189,0.0011863727425025343,0.0006052293613268335
1.0,268105.204921576,268105.20492157614,268104.31785865495,279731.90993615,275781.573316594
2.0,855664.3061004014,855664.3061004016,855657.3062557743,892185.442111001,879817.1168202565
3.0,908794.6169313645,908794.6169313649,908792.473227817,947936.67911202,934661.0396064298
4.0,811217.8783921073,811217.8783921074,811212.9389893124,846474.3431486331,834593.5014048928
5.0,388193.55872713716,388193.5587271372,388197.34646592743,405011.9265442144,399325.65804730385
6.0,318896.8496250212,318896.84962502134,318892.74301864696,332808.5327011506,328129.18628811016
7.0,188860.67669170588,188860.67669170594,188866.29995744844,197144.93556409172,194347.79194786548
8.0,149511.57582400367,149511.5758240037,149513.43639598097,156038.1965669835,153843.6936680774
9.0,148076.71057404875,148076.71057404886,148076.33457290402,154569.09208308344,152382.5652351851
10.0,91467.4116536215,91467.41165362153,91467.35674145157,95456.95775526584,94116.84344313508
11.0,91021.9054252244,91021.90542522444,91024.37065953437,94983.06106566591,93651.45518590252
12.0,68962.12483214073,68962.12483214073,68962.62001764473,71952.65749439785,70957.68901642723
13.0,71899.75035810644,71899.75035810645,71899.52774688895,75036.43820510426,73985.70368372856
14.0,57031.73151608398,57031.731516084,57033.14512489024,59494.012500815734,58684.41264533921
15.0,46883.28978885763,46883.28978885763,46886.74352877127,48906.96133355599,48237.71322505239
16.0,50116.38798917754,50116.38798917756,50114.03501142468,52275.978379898545,51566.11215774056
17.0,43120.36573015639,43120.365730156394,43121.03751972498,44973.516465129964,44365.69035995492
18.0,36314.10090643696,36314.100906436965,36315.36729110578,37872.51479186885,37364.5878895983
19.0,33515.916610729924,33515.91661072993,33514.10015271788,34933.35530600757,34482.06094490588
20.0,28329.357361042254,28329.35736104226,28327.47181578822,29510.30044170008,29146.732367980443
21.0,31817.264659163015,31817.264659163022,31817.922315208125,33129.9092275922,32734.159034517907
22.0,27459.87624143899,27459.876241439004,27460.923012920008,28602.875227980494,28253.919660206142
23.0,25017.578362889308,25017.578362889322,25017.346553720363,26063.2575394262,25735.98645725402
24.0,22217.214056218712,22217.21405621872,22217.423223145357,23129.02958217419,22855.379023642025
25.0,23094.51628801047,23094.516288010473,23095.90329115443,24015.663922622804,23758.416008205517
26.0,20264.827325697464,20264.82732569747,20262.31400940366,21079.12538251604,20846.542313458478
27.0,18014.78847527382,18014.78847527383,18015.418892100093,18726.68309119877,18530.804844605656
28.0,18373.91629943597,18373.916299435972,18372.87915180247,19089.797876164954,18899.924576330563
29.0,15895.109792017742,15895.109792017744,15894.019157439123,16514.22372330208,16350.926546883762
30.0,16895.640196932854,16895.640196932854,16894.559384568725,17534.167268610763,17378.563320074147
31.0,14633.774456378429,14633.774456378429,14633.858979983743,15190.426505187126,15051.352823949459
32.0,13273.681950966959,13273.681950966962,13270.503936280065,13767.884484147813,13652.738203219289
33.0,13559.479079351493,13559.479079351495,13560.270552997163,14044.956081102076,13945.288848559747
34.0,13411.497557666202,13411.497557666204,13406.466262375747,13887.854683247378,13791.894130908877
35.0,12307.945166003474,12307.945166003476,12307.730814464385,12728.036507290395,12657.650029163118
36.0,11675.366300120852,11675.366300120857,11671.87128322534,12056.58718572852,12005.57689565645
37.0,10602.818233811902,10602.818233811904,10599.142453278879,10930.657206759919,10902.756250896233
38.0,11096.921592132252,11096.921592132256,11092.364583185785,11435.93329108868,11411.629446204392
39.0,9719.611646978286,9719.61164697829,9715.277903406635,10006.175232348014,9993.960299664403
40.0,10129.236799391425,10129.236799391429,10127.055717657757,10404.961408449917,10412.998710864882
41.0,8971.707775092635,8971.707775092635,8969.170156428947,9209.306894600684,9223.208765393998
42.0,8793.505636223192,8793.505636223195,8790.101248716845,9010.796834781044,9039.828136125105
43.0,8698.25528088825,8698.255280888254,8692.555389347548,8904.824709580782,8941.055852179421
44.0,7785.844202351146,7785.844202351149,7784.923695658571,7957.642200762103,8002.612730825191
45.0,7997.730508516584,7997.730508516584,7992.825774117909,8143.884906327455,8219.662256991687
46.0,7346.158394149151,7346.158394149152,7343.763878568277,7440.321277904844,7549.125341560513
47.0,7497.207284636188,7497.207284636189,7492.4807921969405,7627.788251633199,7703.268302119591
48.0,7143.674011910583,7143.674011910584,7139.095395424764,7237.154104708536,7340.351974548514
49.0,6966.203698709278,6966.20369870928,6964.055335093039,7027.126602016798,7157.853035102049
50.0,6585.968448440137,6585.968448440138,6581.207968335744,6645.552600291985,6766.773150428049
51.0,6342.919935855419,6342.91993585542,6337.80934617127,6374.7214645029535,6516.634444468102
52.0,6606.228473173159,6606.22847317316,6601.454251344028,6600.13882268174,6786.5874448058985
53.0,5710.401039938383,5710.401039938385,5710.070680537537,5702.499844624396,5865.721030645473
54.0,5794.128728226946,5794.128728226947,5789.880278961751,5769.686416670014,5951.181151012139
55.0,5718.851095624951,5718.851095624951,5715.221952813283,5674.529376671005,5873.87445507003
56.0,5310.922764103906,5310.922764103906,5305.991133323218,5240.787521802909,5453.703074297875
57.0,5561.761333385072,5561.761333385072,5557.288123151511,5481.605182874737,5710.896949718188
58.0,4749.369276460438,4749.369276460439,4745.524383239415,4665.307221110151,4876.880236231704
59.0,5301.571954461264,5301.571954461265,5295.834347634451,5157.133862547305,5441.689434983093
60.0,4907.668299102587,4907.668299102589,4899.638846467716,4758.964381860946,5037.619345403546
61.0,4522.193361510503,4522.1933615105045,4512.264137687226,4382.776222891864,4641.310665120365
62.0,4751.04143438002,4751.041434380021,4741.478085651673,4585.204423845574,4876.428435438112
63.0,4098.836028324665,4098.836028324665,4089.6046740073107,3941.8537755651355,4205.906545607999
64.0,4806.292874699327,4806.2928746993275,4793.617495931368,4565.461248639065,4931.4161258627455
65.0,4128.220982654663,4128.220982654663,4113.035237169159,3924.8041737143185,4234.336835391395
66.0,4189.063039051503,4189.063039051504,4173.016488947372,3962.0531457442103,4297.391478427112
67.0,4020.2077766288803,4020.207776628882,4005.3838660324814,3767.219409830004,4123.736301152963
68.0,3806.8777751615276,3806.877775161529,3791.5594740756187,3578.1544143892706,3904.05096276742
69.0,3980.051466702714,3980.051466702714,3962.6021896392917,3706.279681852314,4081.1651879591327
70.0,3698.843162787373,3698.8431627873733,3679.569159978745,3407.494133299751,3792.101404273478
71.0,3566.241342837959,3566.241342837959,3552.551968401671,3259.4193946349633,3656.004589945728
72.0,3760.256680392724,3760.256680392725,3740.5793708272577,3438.560922192648,3853.5032220719727
73.0,3444.867359124856,3444.867359124857,3425.8150134773114,3106.162351879046,3529.7509179454005
74.0,3475.833486266361,3475.8334862663614,3456.164630591905,3135.1369930804863,3560.7056624024704
75.0,3228.3752679725044,3228.3752679725067,3210.1207275990723,2883.8359129402797,3307.411792654234
76.0,3358.801734493599,3358.801734493599,3339.6539246096304,2976.54644831698,3440.9833499592783
77.0,3309.4209667344508,3309.4209667344508,3291.4222719366553,2914.2581731187856,3389.7019560055887
78.0,2996.5451845723996,2996.5451845724006,2981.466774040347,2624.1287818951914,3068.020781192263
79.0,3096.225924393095,3096.225924393095,3079.2049513676543,2697.762007089696,3169.4199788474693
80.0,2969.560643159032,2969.5606431590336,2948.634577208875,2570.7122668489365,3039.0535565918026
81.0,3135.795516946291,3135.795516946291,3117.9563994811942,2678.9776561100484,3209.529449717578
82.0,2876.1363453782496,2876.13634537825,2859.41745788457,2454.0446413055342,2942.0857919729756
83.0,2747.5453185998845,2747.5453185998845,2729.332466252188,2321.7065210842325,2809.8337130480854
84.0,2709.5290991632914,2709.5290991632924,2693.286161796483,2265.712652638859,2770.524940978343
85.0,2796.8403849637816,2796.8403849637816,2780.651586600602,2333.6856439399694,2858.882208714594
86.0,2671.8797042469955,2671.8797042469964,2655.954255410617,2217.667489944231,2731.0233909487265
87.0,2559.2906533585906,2559.290653358591,2542.1188993250016,2102.0709574148877,2614.559227707509
88.0,2478.2216574926842,2478.221657492685,2462.7338865880174,2023.500640944245,2532.1443943316463
89.0,2625.612779083061,2625.6127790830624,2611.1016186931074,2117.845912196586,2682.3498258199797
90.0,2411.190335538646,2411.1903355386476,2396.8169177738027,1942.2094180542688,2462.7236341106227
91.0,2454.538736437593,2454.5387364375933,2439.9016050291452,1970.8866787592283,2506.380551845448
92.0,2340.9920656389304,2340.9920656389318,2325.2876831979597,1847.6338100107344,2389.751101078937
93.0,2372.1315455214253,2372.1315455214253,2355.8079272687623,1860.4492934882003,2419.617299022778
94.0,2251.428256884588,2251.428256884589,2234.9453922956377,1773.6198452058554,2295.9744242785573
95.0,2244.218941041461,2244.218941041462,2228.9172101606523,1751.6344488543816,2288.9947057764225
96.0,2213.008942421954,2213.0089424219545,2197.3936135568943,1723.3253024200112,2256.2843435814298
97.0,2188.398466990101,2188.3984669901015,2173.0945111912597,1690.5116356109218,2231.315912740923
98.0,2328.568928424403,2328.5689284244054,2309.9025114468195,1785.327173615012,2372.4912100790184
99.0,1998.6490434305724,1998.6490434305729,1984.2135263575851,1522.53365769335,2035.7360505244628
100.0,2129.61479515172,2129.6147951517214,2112.478698450783,1610.7136023230248,2168.0190040370408
101.0,1907.9892831293746,1907.9892831293753,1893.694319226635,1430.666365741152,1942.26564832521
102.0,2091.0089853319655,2091.008985331966,2076.215472925559,1560.8516065684903,2128.306071060615
103.0,2059.738034994309,2059.738034994309,2042.5164445968921,1526.1264127111579,2095.2945925683143
104.0,1869.6316914590113,1869.6316914590116,1853.3202111749615,1377.1539589979986,1901.8772580767002
105.0,1937.7078409019814,1937.7078409019823,1918.550179237956,1420.570034846802,1970.5981943046363
106.0,1847.6351632517014,1847.6351632517021,1833.946464737177,1345.4127975143745,1877.9925003881979
107.0,1891.8548840863004,1891.8548840863007,1875.0606430895846,1372.2518071368295,1921.8199781004523
108.0,1885.2846758475685,1885.284675847569,1866.2569778029301,1349.5537732822743,1915.6025699718757
109.0,1800.5384101185762,1800.5384101185764,1784.6242754256375,1283.514865286849,1829.1791521087769
110.0,1847.8868839929182,1847.8868839929191,1829.4776337510293,1317.1041282682752,1875.5250070488237
111.0,1685.1222126824928,1685.122212682493,1667.433484286187,1191.7076561374456,1709.6164732782233
112.0,1723.2331167600207,1723.2331167600212,1704.662709738924,1212.3382990380226,1747.8394754615688
113.0,1698.1477743804294,1698.1477743804303,1679.592268502111,1185.9743911057076,1722.3457116671516
114.0,1690.6585891648283,1690.6585891648283,1672.1254389550252,1176.7125175222814,1713.0903010478871
115.0,1718.0681790292726,1718.0681790292726,1697.2500710001298,1193.0523986310382,1741.525456033303
116.0,1642.9213101865837,1642.9213101865844,1623.8758275890445,1127.3205880171852,1664.3672044490006
117.0,1585.6158107536548,1585.615810753655,1562.3451066910236,1084.1474112847882,1605.6831976781564
118.0,1566.8591584141766,1566.8591584141766,1541.3116956302897,1057.2296514675518,1585.190123117711
119.0,1536.938046201897,1536.9380462018974,1512.7332906721253,1028.5282499044254,1554.6065399064867
120.0,1592.741189564102,1592.7411895641021,1561.9399714548326,1056.4377185843912,1610.3429923176473
121.0,1541.8940971501258,1541.894097150126,1510.6622591461005,1018.1993217684626,1558.9381676881903
122.0,1496.546362305315,1496.5463623053156,1466.2574916278847,991.3819651499149,1512.6807462958805
123.0,1520.024888970198,1520.0248889701986,1484.7148165305096,994.3122494661677,1534.0310481288232
124.0,1423.213710759247,1423.213710759247,1388.3931979664872,924.7298489899877,1435.5486384109756
125.0,1436.3315153749854,1436.3315153749857,1398.0161877111348,932.5919047742499,1448.8520960909204
126.0,1411.057751051733,1411.0577510517332,1371.0474664191486,910.8851422768373,1422.7633484292958
127.0,1471.5060083483197,1471.5060083483204,1427.1167767077507,943.4894199912055,1482.5349205299221
128.0,1376.4354558774223,1376.4354558774226,1333.045393203757,877.2773532304993,1385.9752613619028
129.0,1380.8517400778642,1380.8517400778644,1333.7015150766902,871.3792999376591,1389.4828141003202
130.0,1333.9285897635493,1333.9285897635498,1284.1453183803224,836.6490952099049,1341.9536631144408
131.0,1332.1216153472126,1332.1216153472126,1277.631981091804,827.3387953021203,1339.6330405085218
132.0,1355.3453231181481,1355.3453231181481,1301.3828464968751,844.015442590339,1361.4095602729058
133.0,1313.1595309011245,1313.1595309011245,1252.9787143816934,802.892304593853,1317.9477566965766
134.0,1310.032929822615,1310.0329298226152,1251.9776799270999,805.558509846804,1314.6026762484687
135.0,1248.5737855154748,1248.573785515475,1191.9030861976396,761.2446433060825,1251.1231055487322
136.0,1298.1595273798841,1298.1595273798846,1233.165435640893,786.9982864782115,1302.0045302742758
137.0,1239.298888724298,1239.2988887242982,1176.0657301327537,745.0049527692496,1242.0368909551873
138.0,1217.4162770174496,1217.41627701745,1149.9528023628427,721.8788942109178,1218.4957751234695
139.0,1249.038629868254,1249.0386298682542,1183.1809152663145,739.8377924990476,1249.7992200116046
140.0,1235.2845637310268,1235.2845637310274,1165.1314162152253,732.4780020759534,1235.6373391932925
141.0,1201.3610346736816,1201.361034673682,1133.670450886403,702.0873340496407,1200.2705898411818
142.0,1161.603901212081,1161.603901212081,1091.4850293261538,673.462726961218,1159.1542532571898
143.0,1119.8324716928933,1119.8324716928935,1050.4011567859498,643.422549704955,1116.6785055286743
144.0,1194.9827783772791,1194.9827783772791,1123.4615154793782,682.5198761788619,1191.602481712784
145.0,1170.708408055921,1170.708408055921,1097.7750931935664,663.7948444989191,1164.9849267114787
146.0,1135.343719321783,1135.3437193217833,1064.4326097755486,636.2762290875766,1129.573461541524
147.0,1095.0257636548463,1095.0257636548463,1023.4188385155041,616.3599794746451,1088.6057579565825
148.0,1125.790350556025,1125.7903505560253,1052.6618564373898,627.6432405091304,1116.789992866991
149.0,1122.243396005965,1122.243396005965,1050.9385501021593,618.295113894501,1112.3669407768225
150.0,1046.5647488138877,1046.564748813888,976.3394313607978,573.2015257860227,1036.3349539148162
151.0,1096.7564315742195,1096.7564315742195,1024.6514240969273,598.0326946091931,1086.0028076701594
152.0,1021.1427805926902,1021.1427805926904,952.5146622616045,553.3751871927659,1009.655418667286
153.0,1084.6098565798825,1084.609856579883,1012.9350251928054,582.3544453842713,1070.4616371913696
