r,original,galerkin,wavelet_db32,standard_p4,hybrid_N12_p4_int64
1,18.074354,10.631522,31.432667,69.07043,22.234312
2,18.069208,10.642861,28.901361,44.949203,18.58077
4,15.640904,10.684203,21.651958,31.839195,13.191084
8,12.046701,10.791537,15.247813,20.858723,11.922627
16,9.38285,10.235199,10.8644085,13.730858,10.496705
32,7.2555304,7.647386,7.9121366,9.183769,7.7933335
64,5.619368,5.77518,5.8931704,6.410367,5.843845
128,4.4078,4.4611816,4.507699,4.7163324,4.4855733
256,3.5628493,3.5741057,3.5916746,3.6644812,3.581228
512,3.157954,3.1601365,3.1668222,3.1915734,3.161773
1024,3.0543168,3.0573044,3.0602674,3.0747757,3.0573313
2048,3.114456,3.1200597,3.1223054,3.1406503,3.1204903
