r,chi75_dns,chi75_N8,chi75_N12,chi75_N16,chi100_dns,chi100_N8,chi100_N12,chi100_N16,chi200_dns,chi200_N8,chi200_N12,chi200_N16
1,17.668966,60.36553,34.64466,69.78924,17.668966,49.091045,21.828148,49.088985,17.668966,32.14422,17.283308,18.850489
2,17.674932,42.39934,26.43121,68.43301,17.674932,37.840164,18.093367,43.502712,17.674932,28.542522,16.71251,16.93808
4,15.316032,29.148222,13.521308,32.90443,15.316032,28.085945,12.662222,19.7016,15.316032,22.856745,15.221691,13.455348
8,11.790541,19.695803,10.680903,16.028269,11.790541,19.365215,11.488015,11.776898,11.790541,16.246038,13.182721,12.413813
16,9.213642,13.485943,9.886563,10.092556,9.213642,13.212663,10.248937,10.05277,9.213642,11.375638,9.992501,9.715439
32,7.167263,9.2728405,7.759709,7.739703,7.167263,9.006408,7.6993155,7.664661,7.167263,8.148965,7.554717,7.408617
64,5.542431,6.409927,5.7949862,5.7871222,5.542431,6.295354,5.763203,5.7447023,5.542431,5.9667177,5.7075353,5.6398125
128,4.3737144,4.7152314,4.462791,4.4563646,4.3737144,4.672485,4.4519434,4.443419,4.3737144,4.543136,4.433754,4.40799
256,3.495589,3.6077213,3.51546,3.5099978,3.495589,3.5927417,3.5135915,3.5093691,3.495589,3.549151,3.5107787,3.502175
512,3.1023314,3.1334946,3.1021636,3.097007,3.1023314,3.1294813,3.102683,3.0995765,3.1023314,3.1175969,3.1046464,3.1009538
1024,2.8118143,2.8182795,2.8073366,2.8031228,2.8118143,2.8175898,2.8082025,2.806284,2.8118143,2.814089,2.8104627,2.8090334
2048,3.0769467,3.103327,3.0800517,3.0787377,3.0769467,3.0999098,3.0798573,3.0788815,3.0769467,3.0891662,3.0796914,3.0777702
