bin_center,original_r2,galerkin_r2,wavelet_db32_r2,standard_p4_r2,hybrid_N12_p4_int64_r2,original_r4,galerkin_r4,wavelet_db32_r4,standard_p4_r4,hybrid_N12_p4_int64_r4,original_r8,galerkin_r8,wavelet_db32_r8,standard_p4_r8,hybrid_N12_p4_int64_r8
-19.95,2.2064422838814004e-07,0.0,1.6936071389898726e-06,4.413036951504761e-06,1.0435930855607194e-06,4.773015168563614e-08,0.0,5.369654171387352e-07,2.82806642271291e-06,1.8495442385421979e-07,0.0,0.0,5.972106177439742e-09,6.33044919040131e-07,5.97210631297126e-09
-19.849998,2.0871751334013247e-07,0.0,1.6637901118949804e-06,4.329547063233049e-06,9.601056387158619e-07,4.1763882724931624e-08,0.0,5.787293940273035e-07,2.9652932744479248e-06,1.3125797821912371e-07,0.0,0.0,1.7916318532319224e-08,6.927661378175017e-07,2.388842525188504e-08
-19.75,2.2661190817478806e-07,0.0,1.8069463065846648e-06,4.1149372650060564e-06,9.54160448752365e-07,4.7731062079923275e-08,0.0,6.503371871292642e-07,3.1085458016206553e-06,1.0739493965829142e-07,5.972219920429128e-09,0.0,1.7916660264190217e-08,7.465294735825265e-07,5.972220223597509e-09
-19.650002,1.967907982921249e-07,0.0,1.8188386527884194e-06,4.6694701797678755e-06,9.660690277762089e-07,7.756149648915874e-08,0.0,6.204933709158718e-07,3.084620971608807e-06,1.9688696732868557e-07,0.0,0.0,0.0,8.122085753722435e-07,1.194421262594252e-08
-19.55,2.385343009601514e-07,0.0,2.069301680385513e-06,4.4845997128805145e-06,1.1211171433452299e-06,7.159522752845421e-08,0.0,8.65110949834629e-07,3.096553741324895e-06,1.670556086425211e-07,0.0,0.0,0.0,7.465152347171355e-07,2.388842525188504e-08
-19.45,2.6238773105616653e-07,0.0,1.7472777877606783e-06,4.3772555708168845e-06,1.115153754284883e-06,6.56289585677497e-08,0.0,7.815829960574924e-07,3.1800831293375125e-06,1.7302188037975397e-07,0.0,0.0,5.972106177439742e-09,8.599855503941401e-07,1.791631893891378e-08
-19.349998,2.0871751334013247e-07,0.0,1.9500335720059447e-06,4.6515794894239375e-06,1.133043921465924e-06,5.369642064634066e-08,0.0,6.801561950423979e-07,3.406805753943189e-06,1.5512306516805528e-07,0.0,0.0,4.180474324207819e-08,9.555395004379335e-07,4.180474419079882e-08
-19.25,2.2661190817478806e-07,0.0,2.1766844947307016e-06,4.7470870477461166e-06,1.1211385272840288e-06,8.949574139985614e-08,0.0,7.935306962219462e-07,3.460569222533551e-06,1.431932528777219e-07,0.0,0.0,4.1805540616443834e-08,9.436132546083135e-07,5.972220223597508e-08
-19.150002,3.100945912481968e-07,0.0,2.3138013025636285e-06,5.009393296302702e-06,1.139007310526271e-06,5.966268960704517e-08,0.0,9.188074915485025e-07,3.555965375394292e-06,1.252917064818908e-07,0.0,0.0,2.3888424709758968e-08,1.1108146692590976e-06,1.194421262594252e-08
-19.05,2.9816787620018925e-07,0.0,2.2422404375358876e-06,4.836449956311299e-06,1.2105679792504345e-06,6.56289585677497e-08,0.0,8.531783850093237e-07,3.5857972996845124e-06,2.2075205427761714e-07,0.0,0.0,2.3888424709758968e-08,1.074981937992675e-06,1.791631893891378e-08
