r,original_S2,original_S4,galerkin_S2,galerkin_S4,wavelet_db32_S2,wavelet_db32_S4,standard_p4_S2,standard_p4_S4,hybrid_N12_p4_int64_S2,hybrid_N12_p4_int64_S4
1,0.008361051,0.0012635269,0.00083723455,7.4522895e-06,0.0028025347,0.00024687848,0.0012084657,0.00010086971,0.0010065883,2.2528251e-05
2,0.025234781,0.011506367,0.0033068075,0.00011637943,0.009797665,0.0027743645,0.0039396975,0.0006976663,0.0037214637,0.0002573305
4,0.04852099,0.03682317,0.012581805,0.0016913287,0.026877664,0.015641566,0.0116532715,0.0043237223,0.012910973,0.0021988645
8,0.07939021,0.075928025,0.04163049,0.01870279,0.057038937,0.04960785,0.03112333,0.020205047,0.04029056,0.019354349
16,0.12746988,0.1524579,0.09374466,0.08994756,0.10582529,0.12167042,0.07488001,0.07698914,0.093937196,0.09262499
32,0.20581286,0.3073365,0.17130935,0.22442703,0.18435293,0.2689019,0.15660375,0.22522952,0.17378496,0.23536812
64,0.33463627,0.6292649,0.29989278,0.51939476,0.31297362,0.57725066,0.2918247,0.54591745,0.3061521,0.5477384
128,0.5457094,1.3126372,0.51093054,1.1645916,0.52392846,1.237368,0.51208764,1.2367816,0.5233631,1.2286386
256,0.8790362,2.75303,0.8443074,2.5478194,0.8572387,2.6393716,0.85994285,2.7098901,0.8663268,2.6877909
512,1.2662231,5.0632133,1.2315766,4.7932343,1.2444366,4.904212,1.2639161,5.0984874,1.2646377,5.05665
1024,1.407511,6.050868,1.3730594,5.7639117,1.3857765,5.876866,1.4111476,6.122916,1.4100145,6.0784054
2048,1.3511009,5.685357,1.3163449,5.4063263,1.3292769,5.517042,1.35229,5.743271,1.3517444,5.7018003
